job_id,job_title_short,skill
22392,Data Scientist,flow
22393,Data Scientist,azure
22393,Data Scientist,ibm cloud
22393,Data Scientist,tensorflow
22393,Data Scientist,pytorch
22393,Data Scientist,jira
22394,Data Scientist,python
22394,Data Scientist,sql
22394,Data Scientist,javascript
22394,Data Scientist,databricks
22394,Data Scientist,power bi
22394,Data Scientist,excel
22394,Data Scientist,word
22395,Data Analyst,sas
22395,Data Analyst,sas
22395,Data Analyst,cognos
22395,Data Analyst,tableau
22395,Data Analyst,word
22395,Data Analyst,excel
22395,Data Analyst,powerpoint
22395,Data Analyst,outlook
22396,Data Analyst,excel
22397,Data Scientist,word
22398,Data Analyst,r
22398,Data Analyst,java
22398,Data Analyst,python
22398,Data Analyst,jupyter
22398,Data Analyst,github
22399,Senior Data Scientist,excel
22400,Data Analyst,excel
22401,Data Analyst,sql
22402,Data Analyst,sql
22402,Data Analyst,python
22402,Data Analyst,tableau
22402,Data Analyst,excel
22402,Data Analyst,power bi
22403,Business Analyst,python
22403,Business Analyst,javascript
22404,Data Analyst,python
22404,Data Analyst,sql
22404,Data Analyst,aws
22404,Data Analyst,unify
22405,Senior Data Engineer,python
22405,Senior Data Engineer,aws
22405,Senior Data Engineer,spark
22405,Senior Data Engineer,pandas
22405,Senior Data Engineer,pyspark
22405,Senior Data Engineer,sap
22405,Senior Data Engineer,tableau
22406,Data Scientist,r
22406,Data Scientist,sas
22406,Data Scientist,sas
22406,Data Scientist,python
22406,Data Scientist,sql
22406,Data Scientist,spss
22406,Data Scientist,tableau
22407,Data Engineer,scala
22407,Data Engineer,python
22407,Data Engineer,java
22407,Data Engineer,sql
22407,Data Engineer,shell
22407,Data Engineer,aws
22407,Data Engineer,hadoop
22407,Data Engineer,spark
22407,Data Engineer,spring
22407,Data Engineer,unix
22408,Data Scientist,python
22408,Data Scientist,r
22408,Data Scientist,jupyter
22408,Data Scientist,tableau
22409,Data Scientist,flow
22410,Data Analyst,sql
22410,Data Analyst,r
22411,Data Scientist,python
22411,Data Scientist,r
22412,Data Analyst,gdpr
22413,Data Analyst,sql
22413,Data Analyst,python
22413,Data Analyst,bigquery
22413,Data Analyst,aws
22413,Data Analyst,excel
22413,Data Analyst,sheets
22414,Data Analyst,sql
22414,Data Analyst,python
22415,Data Analyst,sql
22415,Data Analyst,airflow
22415,Data Analyst,tableau
22416,Data Scientist,python
22416,Data Scientist,r
22416,Data Scientist,tableau
22416,Data Scientist,power bi
22417,Machine Learning Engineer,windows
22418,Data Analyst,python
22418,Data Analyst,r
22418,Data Analyst,sql
22420,Senior Data Scientist,python
22420,Senior Data Scientist,scala
22420,Senior Data Scientist,r
22420,Senior Data Scientist,java
22420,Senior Data Scientist,neo4j
22420,Senior Data Scientist,aws
22420,Senior Data Scientist,hadoop
22420,Senior Data Scientist,spark
22420,Senior Data Scientist,splunk
22421,Machine Learning Engineer,pytorch
22422,Data Scientist,python
22422,Data Scientist,r
22422,Data Scientist,sql
22422,Data Scientist,bigquery
22422,Data Scientist,aws
22422,Data Scientist,azure
22422,Data Scientist,jupyter
22422,Data Scientist,matplotlib
22422,Data Scientist,hadoop
22422,Data Scientist,spark
22422,Data Scientist,tableau
22423,Data Scientist,python
22423,Data Scientist,scala
22423,Data Scientist,aws
22423,Data Scientist,databricks
22423,Data Scientist,snowflake
22423,Data Scientist,pytorch
22423,Data Scientist,tensorflow
22423,Data Scientist,airflow
22423,Data Scientist,spark
22423,Data Scientist,word
22423,Data Scientist,tableau
22423,Data Scientist,looker
22423,Data Scientist,docker
22424,Data Scientist,python
22424,Data Scientist,r
